1,"Glen Haven, CO",1-Jan-26,Human Attack,105.4491156°W 40.4536169°N
2,"Boulder, CO",25-Aug,Pet Attack,105.2884305°W 40.0177146°N
3,"Estes Park/Glen Haven, CO",28-Oct-25,Pet Attack,105.4744906°W 40.3775075°N
4,West Creek Road,29-Oct-25,Pet Attack,105.5200021°W 40.3949995°N
5,"County Road, Glen Haven",23-Dec-25,Pet Attack,105.4495000°W 40.4534998°N
6,Crosier trail,12-Nov-25,Human Attack,105.3800886°W 40.4400485°N
7,Crosier trail,30-Nov-25,Human Attack,105.3799444°W 40.4403216°N
8,Horsetooth MTN Park,19-Feb-19,Human Attack,105.1966994°W 40.5396006°N
9,Big Horn Park,10-Aug-19, Human Attack,106.2757997°W 40.1654000°N
10,"Bailey, Colorado",21-Aug-19, Human Attack,105.4079992°W 39.4251009°N
11,"Riverview RV Park, Loveland",11-Mar-20, Human Attack,105.1872005°W 40.4123998°N
12,Larimer County," OCT 29, 2020", Pet Attack,105.4124000°W 40.4851001°N
13,"Upper bear Creek, Evergreen", OCT 2020,Pet Attack,105.3855000°W 39.6385000°N
14,"Nathrop, CO"," MAR 18, 2021", Human Attack, 106.1554000°W 38.7303001°N
15,"Estes Park, CO"," OCT 29, 2021", Pet Attack,105.5015665°W 40.4314877°N
16,"Silverthorne, CO", MAR 2018, Human Attack,106.0846623°W 39.6384607°N
17," Kittredge, CO",17-Jun, Pet Attack,105.3524955°W 39.6710083°N
18,"Durango, CO", May 2017, Pet Attack,107.8544980°W 37.3114992°N
19,"Montezuma County, CO",3-Mar-22,Human Attack,108.3550025°W 37.3428036°N
20," Buena Vista, CO", MAY 2023,Human Attack,106.1311007°W 38.8422016°N
